title,content,sentiment
GREAT COMMUNICATION,GREAT COMMUNICATION ! WATER BOTTLES ARE AMAZING! THANK YOU SO MUCH!!,
Great company! Amazing product.,"This experience was amazing! I worked 1:1 with Conor to design and order water bottles for our coaching company. He was SO communicative and helpful every step of the way.

The product is incredibly high quality and exceeded our expectations. We will definitely be ordering more in the future.",
It was easy and simple,"It was easy and simple and Chris Falcon was awesome. He was able to provide friendly service though quick reply times, and great product options. I definitely will go to Flashbay first for future orders.",
Ordering from Flashbay was awesome!,"Ordering from Flashbay was awesome!
They did an amazing rush job and were so wonderful to work with.",
Extremely Satisfied!,"I am absolutely satisfied with my order! The quote process was very fast, customer service from Donovan was fantastic, the full order arrived after only 7 days, and the finished product looks great! I placed an order for 100 of the Nova 750ml water bottles in silver with our company logo. The quality of the logo image is great and I'm confident our employees will be thrilled to be able to keep their drinks cool this summer! Thank you Donovan and thank you Flashbay!",
Excellent Customer Service and Product,"The customer service I received from Mark was exceptional. He understood what I desired in a customized flash drive and went above and beyond my expectations with the final design. Flashbay provided a product that looked professional for a reasonable price. Each flash drive was packaged in a protective sleeve to prevent it from bring scratched during the shipping process, which was a really nice touch. I look forward to working with Flashbay again in the near future.",
I have only ordered from Flashbay a…,I have only ordered from Flashbay a couple of times but I've been completely satisfied with the look and performance of the products.,
Very helpful and quick with responding…,Very helpful and quick with responding they also gave quality merchandise,
Conor's assistance was impeccable,Conor's assistance was impeccable. He went above and beyond to ensure we had what we needed timely.,
We had a need for a classy USB and boy…,We had a need for a classy USB and boy did Flashy deliver! They sent a ton of samples that we could touch in person then when we decided on a few choices they gave us prices. All of this happened very quickly and when we ordered they said they would be delivered in about a week but turned out to be two business days! They called and emailed to allow us any questions or concerns and were extremely helpful and professional.,
Easy to work with!,Flashbay was very helpful and easy to work with! They promptly responded to any questions I had and made the designing and ordering process super easy!,
Thank you,"Nice product, good quality, attentive sales staff. My only criticism would be excessive packaging. Every water bottle was individually boxed and wrapped and then inside a big box with more packaging materials. Not very environmentally friendly, could have been packed with a lot less waste.",
Great job!,"Great product, prompt customer service, very friendly staff!",
After opening our new flash drives I…,"After opening our new flash drives I have say how impressed the team and I are on the quality and printing of the logo along with the customer service from Eric H. and the Flashbay team. Very well done, great job!",
Excellent quality and timeliness.,"Date of experience: June 24, 2022",
Fantastic service and product!,I had such a positive experience ordering custom masks with Flashbay. Conor was incredibly helpful and professional in helping me achieve the exact design I was looking for and was always prompt in his responses. The masks turned out exactly as I had hoped and were shipped and delivered very quickly. I recommend working with Flashbay for anyone who needs custom masks!,
Fast/Great service,"Fast/Great service,
Looks Beautiful,
Good Quality,",
Very fast delivery and everyone loved…,Very fast delivery and everyone loved the product,
Excellent service,Excellent quality and costumer service.,
Thank you!,I was assisted by Matthew K and had a great experience with him as he went above and beyond to make sure my purchase arrived to me on time for my event.,
Very Happy Costumer,"The end product is beautiful and very professional looking, Andrew Um was very helpful and attentive. I would use them again in the future.",
Recommend!,We ordered branded water bottles for an upcoming event. They turned out better than expected and Chris helped to push the order so we'd get it on time - and we actually got it a day early.,
Customer service was on point,"Customer service was on point! Thanks Rachel for everything, got all the products I ordered.",
Rachel was outstanding!,Rachel was outstanding! She was able to work with my budget and delivered an excellent product.,
Rachel is great.,"Rachel has been exceptional in her customer service, presenting products, follow ups and communication with orders. She has noteworthy initiative in reaching out to make sure the customer is satisfied.",
Amazing customer service,"Amazing customer service! Rachel was very attentive to our request and needs. The whole process, from first email inquiry to bottles arriving at our facility was an amazing experience! Would highly recommend to others.",
Fantastic customer service and high-quality products,"I’ve ordered from Flashbay numerous times, and have always been extremely pleased with the customer service, the quality of the products, and the level of detailed information available for each item they sell.
My rep, Chris Falcon, is professional, easy to work with and responds quickly to inquiries. He treats every order as important, whether it is 35 speakers or 2000 tumblers, and he ensures that they arrive to me quickly. Because of this,
Flashbay is always my preferred vendor for custom branded products.",
This is my 3rd time ordering from…,"This is my 3rd time ordering from Flashbay, and I love their products. They do a great job and my orders arrive pretty fast, especially considering it's a custom order each time- logo printed on usb thumbdrives in various quantities.",
The whole experience with Flashbay was great.,"The whole experience with Flashbay was great. Chris Falcon was extremely helpful and patient, and the order was processed and shipped with amazing speed.

George",
Excellent customer service!,Rachel Gutierrez handles our account and provides excellent customer service! Rachel responds quickly and efficiently to our inquiries and a pleasure to work with. We will define return to Flashbay for future orders and product inquiries.,
We really enjoyed the custom flash…,"We really enjoyed the custom flash drives that we purchased for our students in our art programs so that they can have lasting memories. Talon at Flashy was really nice and walked me through the process of ordering, payment, and receiving my packages. I would recommend!",
Outstanding service and products,"We absolutely love our order! The products were presented beautifully and we were easily able to make our choice. Joseph was so helpful and accommodating to all questions and preferences we had. Could not have been a better experience, we will be back for our next order!",
Good job from Mr. Brian Truong,Good job anf helpful,
"10/10, would recommend!","Had a tight turnaround deadline for a project, between our meeting date and local supply chain constraints. Diana was very understanding of the timing issues, worked closely with us on art / product approval, and even worked with us on bulk pricing. Fair prices, especially with the level of response and customer service. Would certainly use again for future proejcts!",
Portable Charger,Ordered the portable chargers. Had it customized and it turned out exactly as we pictured.,
It was great working with Brian,It was great working with Brian! Our flashdisks arrived in record time and looked beautiful!,
Andrew was great to work with,"Andrew was great to work with! 10/10 recommend. He was knowledgeable and quick to reply. (Which I greatly appreciated!!) I felt like he went above and beyond, especially when the sample pack came. I would highly recommend anyone that is looking for these products to choose Flashbay.",
Service was very accommodating to my…,Service was very accommodating to my time line. Product was delivered and met all my expectations. Fantastic product and delivery time line!,
Brian,"Brian, our account manager was very helpful. The delivery arrived on time and the quality of the product was good.",
Flawless service,Service was fast and product displayed logo clearly. Updates and follw-up excellent.,
From the time I contacted company,"From the time I contacted company, Eric and back up staff worked to creat my logo and design. Back and forth was necessary and company responded same day at each response.",
Excellent service,Excellent service. Very quick and easy communication. Products arrived quickly and look high quality.,
Incredible customer service and high…,Incredible customer service and high quality products. Very anticipatory with clients provide you options and ideas before you even knew you needed them. Love them for my business!,
The service that I received from Eric…,The service that I received from Eric Hoecker was very professional and through. Eric was knowledgeable and patient throughout the entire process and exceeded my expectations with the final product that actually arrived earlier than I anticipated. It was a joy to work with Eric and I look forward to working with him again.,
Flashbay has been just wonderful to…,Flashbay has been just wonderful to work with! Joseph and his team are very helpful and easy to work with. I would recommend this company to anyone. I've had some last minute order changes and they work efficiently to ensure I am pleased with the order. Thank you for all of your hard work!!,
Perfect customer service and products!,I would definitely use Flashbay again and again! The customer service is amazing! The product that they made for me came out perfect!! They respond super fast to your e-mails and calls.,
Flashbay was easy to use and very…,Flashbay was easy to use and very helpful in getting my project done quickly and efficiently.,
Awesome!,Flashbay and Conor were terrific. Communication was on point throughout the entire process. And the final product turned out better than I expected. I will definitely be ordering with Flashbay in the future.,
"Awesome Service, Awesome Product and Awesome Experience!","Everything arrived much earlier than I expected. It was all packed neatly and the flash drives looked awesome! I immediately stuck one in my laptop and it functioned perfectly, exactly as expected. I’m extremely pleased with the whole process as well as our sales rep. She made the whole process simple and was super nice and patient on top of that. We'll definitely be looking to Flashbay next time we have a project like this.",
"Very responsive, fast turnaround time","Andrew was very helpful and quick to respond. Logo quality was exceptional. My company purchased flash drives to hand out to customers, and so far everything is excellent. Would recommend.",
Fast and thorough customer service on a…,Fast and thorough customer service on a reorder.,
Andrew Um was very responsive and…,Andrew Um was very responsive and helped facilitate the ordering process quite efficiently.,
Needed flash drives for our law firm,"Needed flash drives for our law firm. They did a great job designing drives with our logo, and we had them within a week. Outstanding job.",
Nate was exceptional,"Nate was exceptional! With my busy schedule Nate didn't hesitate to reach out to me, which I greatly appreciated. He answered every question and sent me a updated quote for all the changes I made.",
It is so nice these days to received…,"It is so nice these days to received such stellar customer service, live support, and a quality product. Love my USB branded drives!!",
From start to finish Flashbay was…,"From start to finish Flashbay was outstanding to work with! Hieu was highly responsive and delivered an outstanding product that met all of our expectations, at the right cost, quality and timing.",
Always professional and responsive,Always professional and responsive! Great customer service!,
Wow what can I say great service Matt…,Wow what can I say great service Matt was the bomb. Final product was exactly what they promised and quick,
Matt provide timely responses and great…,Matt provide timely responses and great communication.,
Andrew from Flashbay had excellent…,Andrew from Flashbay had excellent customer service skills and was always fast to respond and answer questions. Our water bottles turned out great and our team loves them!,
Flashbay was quick at getting our order…,Flashbay was quick at getting our order to us. The order was exactly as we had anticipated. We are very pleased with their service.,
Andrew was very excellent with quick…,Andrew was very excellent with quick responses and thorough explanations with the process. I will definitely keep ordering through Flashbay!,
"Fast, Friendly Service","We ordered custom bottles for our company’s grand open and they were outstanding quality! The sales rep was very patient with me giving quotes for different quantities, and even sending a free sample of what the bottles looked like! Outstanding, we will definitely be a return client!",
Overall these look great,"Overall these look great! The bubbles are a little more opaque than I realized, but our logo is clean and clearly legible!",
Rachel was wonderful to work with and I…,Rachel was wonderful to work with and I look forward to working with her in the future. She made my experience with Fashbay a great one. Would recommend her to others.,
Talon was our representative she has…,"Talon was our representative she has been so helpful and communicative throughout the whole process. She was able to work with all of our requests and got us our products in and shipped to us right on time! The products are of great quality, our team is very impressed!",
First time using this company and they…,"First time using this company and they were profession, fast and fantastic!!!",
Good Quality and Timely,Marcus was wonderful at making sure our graphics were correct and got to us on time. The flash drives turned out beautiful! Thank you!,
Amazing Product,Amazing product! It came super quick and is of great quality. I cannot wait to share this with my clients. It definitely stepped up my game as far as marketing materials go. Thanks!,
Joseph Salom was fantastic to work…,"Joseph Salom was fantastic to work with; answering all of my questions and helping throughout the entire process - made it super easy!

The water bottles shipped quickly and look perfect!",
Very Professional,"Very Professional, I enjoyed the helpfulness that was given and the timely manner my order was handled.",
A breath of fresh air in a supply chain challenged world,"Both Flashbay and Marcus greatly exceeded my expectations. Marcus was incredibly attentive, worked to promise a quality product in an unreasonably short time frame, then Flashbay backed up that promise with an early delivery.

I will recommend them both to anyone I know who has a need for their products and outstanding service!",
Ministerio Creados Para Adorar is…,"Ministerio Creados Para Adorar is grateful with Flashbay for prepare the USB drives exactly as we requested. We are 100% satisfied with the dedication to our order, for the quality of the customer care received by our representative Antonio Miguel Martinez. The order arrived on time as promised. We high ly recommend everyone Flashbay for their marketing needs. They have many promotional items to offer. Once again, thank you for your service.

Ruben Hospinal",
Water Flasks,"Marcus made this purchase a seamless process and provided all of the necessary details in a timely manner, including product recommendations and samples with logo. The product selected is also of great quality and use. Definitely recommend for large orders.",
This is the third time I've used…,"This is the third time I've used Flashbay and they never disappoint! Responsive, great customer service, and really reasonable turnaround. Plus, you can't beat price matching!",
Antonio was wonderful to work with,Antonio was wonderful to work with! He gave us reasonable prices and was very patient with us.,
By far the best customer service…,"By far the best customer service experience I've had in recent years. Brian was quick, informative, and easy to work with, and the product looks fantastic. Thanks!",
We had a need for a customized order…,We had a need for a customized order with a tight turn-around. Joseph was incredible to work with. His follow through was impeccable. The item we ordered was perfect - Thank you so much!,
Great,Great! Much better than USB Memory Direct I can tell you that!,
This was our first time using Flashbay…,This was our first time using Flashbay and we got our products within a week. Such an easy process and we will definitely use them again!,
Order received as expected and per the proof.,"Order received as expected and per the proof.
Have used Flashbay for multiple orders and has always been positive.",
"Good quality,","Good quality,
Good follow up,
Fast delivery,
😊",
High Quality Mugs,"Love my high quality, customized mugs and I am sure my clients will as well! Thank you Flashbay!",
Very smooth and easy experience,Very smooth and easy experience. All was done quickly and as promised.,
Jill Kavanagh was a pleasure to work…,"Jill Kavanagh was a pleasure to work with. She is very professional and knowledgeable and provides great customer care. The drives were delivered amazingly fast, and the printing and performance are the quality we were expecting and received.",
Excellent service and product,"Excellent service and product. I recommend them 100%.

Greetings.",
"Great quality, fast delivery, exceptional customer service.","We had a big event coming up and needed some last-minute swag items. We reached out to Marcus from Flashbay, he provided us with a few options with different shipping dates, we had the design approved the same day, and we got the order delivered on time. The quality was great and the customer service was fantastic.",
excellent service,"excellent customer service, everyone was extremely kind and attentive. The quality of the product and the engraving is as good as the advertisement. I'll definitely do bhsiness with them again.",
Great Products & Incredible Service,"My team and I were extremely satisfied with our order and the overall product quality. The item was exactly what we wanted, the embossing was clean, and the order was packaged well and delivered on time. As an added bonus, the Flashbay team was incredible to work with - highly responsive and exemplary customer service throughout the entire process. Our company will continue to partner with Flashbay for our future promotional needs.",
We received a call to see if we were…,"We received a call to see if we were getting low on flash drives, which we were. We placed the order, were sent a proof of our logo, confirmed and received an email to pay online. I highly recommend this company.",
Good customer service,Antonio followed up promptly with my order and all went well. He is an excellent representative of your company.,
Excellent Customer Service,"Excellent Customer Service
Fast Delivery
Great Follow Up",
Quick and Efficient,Matt provided us with thoughtful and quick service. Very helpful to have him guide us through the process.,
I would definitely recommend your…,"I would definitely recommend your company, and particularly Brian Truong, to anyone looking for fabulous merch! Brian was not only knowledgeable, but also very responsive and helpful. I look forward to working with him again in the future!",
Excellent service,"Excellent service! Throughout the entire process, the attention and help we received from Joseph was incredible. We will continue to do business with them.",
This was a seamless and pleasant…,This was a seamless and pleasant experience!,
Excellent Service,"Excellent Service; everything has worked smoothly since I got in touch with the Flashbay team to request a quote.
Brian Truong´s follow-up answering my questions and offering solutions was excellent.",
Great experience with Flashbay (again),Great experience with Flashbay (again)! I can definitely recommend their products and customer focused approach.,
Great Customer Service,"Great customer service, friendly staff, fast shipping & durable products!",
Excellent service and follow up,Excellent service and follow up! My delivery was delayed in transit and Nate was incredibly responsive and helpful.,
The product is great,"The product is great, the turnaround time was quick, and the follow up and customer service were fantastic! I would definitely use them again!",
Andrew Um and his team were prompt,"Andrew Um and his team were prompt, professional and caring! I appreciate the efficiency in placing my order! Great job everyone!",
Products were really good and were…,Products were really good and were delivered before time.,
Andrew Um was a tremendous help on my…,"Andrew Um was a tremendous help on my Flashbay order. He provided me with samples that shipped overnight. Our order turned out great and shipped fast. He was fast to answer my emails, and he answered all my questions. I will definitely be ordering again.",
These guys are great,These guys are great. I worked with Anthony and it was a seamless process. I ordered 250 imprinted bottles and I received as promised in 2 weeks. Tracking information was provided and updates were given on a regular basis. Everything was completed in a professional manner. I will definitely use Flashbay for future promotional items.,
usbc,Wonderful customer service. My sales Rep Donovan was awesome,
Timely,"Timely, accurate and an excellent product.
Thank you Flashbay and Nick Mahaleris.",
Good product,Good product. Great job getting my logo on it in a manner that was professional and attractive.,
Great product & Excellent communication.,"Date of experience: April 08, 2022",
"Professional, fast, and a great final product!","Although my initial request was a re-order Mark took the time to guide me through my choices and answer all my questions. Mark was professional, knowledgeable, and quick to respond. We decided to pay the extra and do the Pantone color match (which I highly recommend as it was well worth the money). We also chose an upgraded model of the twistergo. The final product price was almost the same and the flash drive looks great! My order was done and shipped quickly, and I was informed of the progress and shipment. I would not use another company for flash drives. As a matter of fact, I am looking at their catalog now to see what other products they have.",
We received our portable chargers in a…,We received our portable chargers in a timely manner and exactly how er designed them. Now to see how well they work!,
Mark,"Mark, was very helpful, walked me through the process, and made helpful suggestions for improvement. Really great customer service and delivery was sooner that I expected. I am very pleased with the graphics and quality of the product.",
Fast communication and high quality,Not sure if my first review got published... Fast communication and quick turnaround on proofs. Olivia made sure the coloring and details were on point with our brand. My team is super excited to have the webcam covers for our next conference. High quality production and packaging. I highly recommend!,
Flashbay is great!,Flashbay is great! Mark helped throughout the process and my memory cards arrived quicker than expected. I'm very pleased with the entire process.,
Excellent customer service,"Excellent customer service
Great products and fast delivery
What else?
I will repeat",
Excellent Customer Service,"Olivia is my account manager and she has been more than incredible on my last couple of purchases! The first time we ordered from FlashBay my company kept on changing their mind about what they wanted and I felt really bad because Olivia had to change our quote at least 10 times. However, she was super helpful during the whole thing and didn't seem to mind at all when I asked her for different options. Her turnaround on each quote was quick and I honestly couldn't believe how fast she was able to help me each time. Her great customer service is what sold my company on buying from FlashBay again, and we are planning on making more purchases in the future.",
Always easy to work with.,"Date of experience: April 05, 2022",
Great product and great quality,"Great product and great quality, everything shipped out quickly.",
We had a great experience with Flasbay,"We had a great experience with Flasbay! Jill was super helpful in getting us multiple proofs, and the drives arrived quickly and in perfect condition!",
Justin made choosing just the right…,Justin made choosing just the right product for our Inn so easy! Great merchandise at great prices,
Product were as described & very…,Product were as described & very friendly service.,
For exceptional service.,Service was great! Max and Mark were really very helpful during the whole process. Very pleased with product and care they took all the way till the end. Amazing job to the both of them.,
Donovan was great to work with,Donovan was great to work with. Incredibly responsive (responded to e-mails and phone calls immediately) and flexible (as I made changes). I will definetely do business with Flashbay again!,
Water bottle design,They did a fantastic job. Max was super helpful and quick to respond. Will definitely be returning for future orders!,
Excellent service and products,Excellent service and products ! Couldn’t be more satisfied with this company !,
Great communication and value,My sales rep was clear on all of our communications and responded quickly to my questions. The drives arrived as promised and I think they offer good value for the costs.,
Justin at Flashbay was great to work…,"Justin at Flashbay was great to work with! We had to play phone tag in the beginning after I submitted for a quote and ended up being able to email back and forth. He was so patient with any requests and changes I had to make and did a great job checking every step of the way, including tracking my delivery on his end and emailing me asking if it arrived as it should have! Such an easy process on my end thanks to Justin!",
LOVE IT!!,"LOVE IT!!! Thank you so much for helping us! The masks are a better quality, cheaper, and were shipped faster than our previous vendor. I don't come across that trifecta very often!",
Great product and turn around time,"Date of experience: March 28, 2022",
5 Stars,"Not only fast service but quality work. Oliva was the best part of ordering from flashbay. She responded to all of my emails so quickly, answered all of my questions, and was so kind and easy to work with. Received the exact products I was looking for less than a week after receiving the initial quote.",
Had an incredible experience and my…,"Had an incredible experience and my representative, Jill Kavanagh, was very helpful. Would be happy to order more product and also recommend Flashbay to my customers and vendors. Thank you, Flashbay!",
Great service and professionalism.,"Great from the phone call(s) to the staff with my rep. These individuals are awesome. No better service, and Mr. A. M. Martinez is a great person to work with.",
Quick,"Quick, helpful and effective communications and product was delivered fast!",
I always can trust Flashbay to deliver…,"I always can trust Flashbay to deliver high-quality customizable products. Not only that, but they deliver them very fast.",
Their price inquiries are inaccurate &…,"Their price inquiries are inaccurate & the customer agent I spoke to was overseas, I would just take my money to shopiosx",
Quick Response,After an online price inquiry I was called quickly by a representative. He stayed in touch throughout the process to ensure my order was correct and on time. It was a very pleasant and easy experience.,
Great service and product.,"Date of experience: March 18, 2022",
Rachel was super helpful and kept me on…,Rachel was super helpful and kept me on track. The product was exactly what we wanted.,
5 stars!,Diana was incredibly helpful in the purchase of my items. I appreciated her quick responses and the delivery time of the product. Everything about the process was seamless. Will definitely be ordering again!,
Easy Peasy.,The ordering process was smooth and easy and the flash drives were delivered as promised.,
I'm glad the reviews didn't lie,"I'm glad the reviews didn't lie. Super fast and on point customer service. My guy Matt called me immediately both times, while I was on the phone with another company and got me off the phone while I'm still on hold with the other print company. My USB's look amazing and came super fast, so I'll be ordering more items!",
Quick and quality service,Quick and quality service. Highly recommend,
fast and affordable,Was contacted by Rep after sending a inquiry and the response was immediate. Provided the art work paid and 5 days later the product was in my hands. What more could one ask for.,
Immediate response,"Communicating with Diana Bronson was great. She responded to all my inquiries fast. The product arrived before expected, and it works great.",
Flashbay Exceeds Expectations!,Flashbay is always easy to work with and provides an excellent product! Jill Kavanagh is the best!,
Excellent product and quick turnaround…,Excellent product and quick turnaround time. Thanks!,
Superior Customer Service,"Thank you, Richard. I appreciate your dedication to deliver superior customer service. Well done.",
Nice product and an easy team to work…,Nice product and an easy team to work with.,
Excelling in Value and Service,"Excellent Product, price point, and great communication with sales team!",
Truly Exceptional Service and Products,"The service we received was truly exceptional. I had a box of samples at my door within a day of requesting them. I worked closely with Jill to order the product that fit my organization’s needs. She was not pushy, and was very helpful in answering all questions as they popped up. She communicated effectively at each stage of the process. I highly recommend FlashBay, and especially Jill - she is wonderful!",
We loved the masks with our logo,We loved the masks with our logo. Jill was great to work with.,
Great communication,"Great communication, listened to what i needed and did their best to accommodate. Very happy with end result.
Thanks,",
I am very pleased with our Flashbay…,"I am very pleased with our Flashbay experience. They sent over a quote and sample and worked with me on our company name, logo and colors.
I placed our order and they arrived in a timely fashion. We loved how our logo and name appeared on the USB drive, we chose.",
great product,"great product, good service, quick turn around!!",
This is the third time I have used your…,"This is the third time I have used your service. Jill was great communicating with me and helping make sure my flash drives were ready before my upcoming convention. Love you product. Pat

Norval Plastic Inc",
Product was made as prescribed,"Product was made as prescribed, delivered quickly with great service.",
Great Customer Relations.,"My experience with Flashbay was outstanding, my representative Rachel Gutierez was a pleasure to work with, she made sure to answer all of my questioned and followed up as need through out the process to make sure the product was received.",
TMH Face Mask,Great service and great product. Looking forward to future items!,
Our experience was 100% above…,"Our experience was 100% above expectation! The representative (Hieu) was incredibly responsive, knowledgeable, professional, friendly and helpful. The order arrived AHEAD of schedule! It's hard to find customer service these days and Flashbay (Hieu) was TOP notch :-)",
Just received my order and am so happy,"Just received my order and am so happy, they look great. Will be reordering these, better than I expected.",
The product is very well made and I'm…,The product is very well made and I'm pleased. The purchasing process was smooth and fast. I will definitely use Flashbay again.,
Flashbay truly understands what…,"Flashbay truly understands what customer service is all about. We need custom branded gear with a quick turnaround and they delivered. Donovan is friendly, proactive, and quick to help with any questions I had. Thank you for the great service and product - we love our custom face masks!",
VERY Impressed!,From start to finish the process was quick and easy! I've never requested information and had such quick turnaround on a) information b) a free sample overnighted c) consistent follow up...I'm very impressed and will use them again!,
Great Service!,"After seeking out a few different options for wireless charging pads, I ultimately decided to go with Flashbay due to the fantastic customer service. Matt Kusanovich was friendly and answered all my questions faster than I could believe. I will keep Flashbay in mind when considering future promotional products.",
Justin was fantastic,Justin was fantastic! He followed up with me each step of the way and made sure that I received exactly what I needed. Thanks so much!,
Great product and fantastic service!,"Thanks to Brian, we were able to decide on the right style of flash drive for our company. Customizing the product was easy, and the service and communication has been a very positive experience. We ordered a very small batch just to test the product and we are very pleased. We look forward to doing business with Flashbay in the future.",
Jill Kavanaugh is AMAZING,"Jill Kavanaugh is AMAZING! Jill had my proof up and ready for my review the same day, along with a quote.
Once I submitted for a Purchase Order, my Purchasing agent sent Jill the PO and the order was here in one week. That is amazing. The products are beautiful and Jill provides amazing customer service, communicating at every step during the process. I am sending friends to Jill!",
The USB drives work well,"The USB drives work well, very high quality and I clients seem to like them.",
Rachel Gutierrez was so attentive and…,Rachel Gutierrez was so attentive and great throughout the entire process! We had a wonderful experience.,
"Easy Process, Great Product","Flashbay made every part of our purchase as easy as it could be. Our rep, Brian, was very attentive and made sure all of our questions were answered. We received our products very quickly and are pleased with the quality and design.",
Some initial art problems but overall a happy customer,"We were a first-time customer at Flashbay and contacted them during a busy holiday season and amid a pandemic which created supply issues for a lot of products. We received timely quotes and our questions were answered quickly. Andrew understood what we were looking for and sent samples which were received in two days. We had a challenge with our design but Flashbay understood the issue and made the fix. Our items arrived well packaged and the print on the water bottles was quality. Pleased with the product, we did a second run and they arrived within 2 weeks. We'll be back again.",
Repeat Customer for a Reason,I am a repeat customer because of the quality of the product and the customer service. The flash drive selection is great and the pricing was where I needed it to be.,
Feel like theirnsoftware and app could…,Feel like theirnsoftware and app could be better,
Great service and product!,"Date of experience: February 18, 2022",
"Timely Delivery, Nice Products","My Flashbay representative, Jill, was super helpful and quick to give me suggestions and send samples of various products. Everything arrived in a timely matter and looking great. Thank you!",
Joseph was very attentive,"Joseph was very attentive, helpful, and on top of the project. The variety of products they offer is unparalleled as is the quality. I wish the turnaround time was slightly faster, but it was still a perfectly reasonable timeline and they really they did a great job. Would recommend to others, and will probably use in the future.",
Face Masks- Look great!,Andrew was great to work with and very quick to respond! The Face Masks look great! thank you!,
Easy Process + Great Product,"Ordering was simple and straightforward. Our rep, Justin, was very helpful and informative with pricing and samples. Our flash drives look great!",
"Excellent Customer Service, Highly Recommend","I worked with Rachel our sales rep and i am thoroughly impressed. Rachel was quick and attentive to my needs. The communication with Flashbay was superb, and I received my order in a surprisingly short time. I will definitely be ordering again with Flashbay, with their competitive pricing and ease of ordering.",
Great Experience,"From the moment I called to get pricing, my experience with Flashbay was fantastic. I got the quote the same day, and Andrew provided excellent customer service. The turnaround time was impressive and the product arrived just as ordered. I will definitely recommend using you to my coworkers and look forward to more orders in the future.",
My order was of very high quality and I…,My order was of very high quality and I am extremely pleased.,
In looking for logo masks,"In looking for logo masks, there are a lot of options. I liked Flashbay's website so I sent a request for a quote. Two days later, I received samples of the mask I was considering, sent by FedEX. That was impressive enough, and the order could not have gone more smoothly, up to the delivery point! Mark checked in with me by email at every step to make sure I got the product on time and was satisfied. The quality and fit of the masks is great and the service could not have been better!",
The order I made for flash drives…,"The order I made for flash drives arrived earlier than was originally promised by Fedex, and the order was correctly made as requested. Very happy with this first order with more to come in the future. Someone in the organization used FlashBay before, so we had history with them. Highly recommended.",
great service,"great service, super communicative, fast delivery, and very quality! would order again! Shout out to Max!",
Great Products & Fantastic Customer Support,Flashbay was wonderful to work with. They went above and beyond in sending samples and were extremely responsive to every inquiry. The products were delivered exactly on schedule and the quality was excellent. I would certainly work with them again.,
Melvin and Flashbay are Awesome!,Melvin was awesome and extremely helpful! I plan to use Flashbay in the future for the same product and other branded products!,
Brian T was very helpful along the…,Brian T was very helpful along the whole process. Products shipped quickly and came as expected.,
I was thoroughly impressed with the…,I was thoroughly impressed with the speed and quality of my order.,
Flashbay provided excellent,"Flashbay provided excellent, quick service, and high quality product. We will use them again!",
Excellent Product! Great support!,"Excellent product! Excellent service!!
We requested masks that would provide safety and a sense of security for our contract employees within the field. Being a state agency, at times our process takes a bit longer, but Matt K. worked with us to meet our needs which helped to finalize our decision. My supervisor was VERY pleased and excited with the final results.
Would we work with Flashbay again...absolutely! 100% satisfaction!
Thank you!",
USB Drive order,"Working with Olivia was awesome! She responded quickly and her team was able to complete and return the required paperwork for our purchasing department in a timely manner.

We were very pleased with the finished product as well!",
"Fast, Friendly, and Beautiful!","I reached out to Flashbay for a custom USB project, which was promptly responded to by Mark. He got my order processed and mocked up the same day. One week later I had custom USB's at my doorstep. The quality of the sticks far exceeded my expectations. I'd highly recommend if you are looking for some custom USBs.",
Great experience!,"Marcus was great to work with and was attentive to my needs, and the logo swag was great!",
great service and ETA's,"Date of experience: February 02, 2022",
Matt Kusanovich did an amazing job…,"Matt Kusanovich did an amazing job guiding me through every step of the process. He gave plenty of options, dialed in our logos as needed, gave quick estimate turnaround, and had great follow-up in the end. It was a very professional experience that not only got us what we needed when we needed it, but Matt made it easy along the way. We will definitely order again from Flashbay and look forward to doing business again soon. If Matt is representing Flashbay as other reps do, then you must have an incredible company! Thanks so much for the awesome customer service!

Dan",
Great quality and service,Great quality and service. Purchasing was super easy.,
BEST service and products form Brian…,"BEST service and products form Brian Truong. He is the BEST and it was a pleasure to do business with him. We will reorder for future events. I highly recommend.

THANK YOU!",
The whole process was very easy,"The whole process was very easy. Got the masks in smaller individual packages. The material is very nice and comfortable, doesn’t cut or irritate behind the ears.",
Conor was amazing your media kit is…,Conor was amazing your media kit is great! Change nothing you got it down packed!,
Outstanding Service,Melvin has been extremely professional and courteous throughout my ordering and purchasing experience. The product is excellent as well!,
Excellent customer service,"Excellent customer service, very quick and easy process. The product is just as expected, will definately order again.",
"Great Product, good support.","Liked the entire process. The samples were very helpful for us to determine which configuration best fit our needs. For example, the credit card size is nice, but not so convenient if you only have usb ports on the back of a desktop.

Salesperson quietly persistent. Delivery fast, well packaged. Overall enjoyed the experience.",
Good communication leading upto the…,Good communication leading upto the purchase and through delivery of the goods. I received ample and competent help on getting what I needed. Product looks fantastic. I would recommend to others.,
Fantastic,"Fantastic, quick quote from the salesman, fast turnaround and the product exceeded expectation",
Great customer service and product!,"I was hesitant at first about ordering from Flashbay because I had never heard of them, but Matt Kusanovich was extremely helpful and attentive. After speaking to him about what we were interested in, he sent several samples for us to choose from, and created digital proofs for us to decide on. We received our order within a few days. The face masks we ordered look and feel great. We can't wait to distribute them at our conference in June. Thank you!",
5 Stars!!,Conor was extremely helpful and responsive! Great experience and customer service!! The product came quick and looked fantastic.,
